sigma,sigma_blur,global_auroc,global_auroc_wo_sid,ADM AUROC,CollabDiff AUROC,SID AUROC
0.014,0.55,0.54102,0.771589,0.77112,0.820208,0.301387
0.014,0.6,0.556855,0.764739,0.804032,0.777584,0.337025
0.014,0.65,0.578777,0.757336,0.834488,0.716768,0.386933
0.014,0.7,0.605892,0.755553,0.858038,0.658616,0.446066
0.014,0.75,0.6377,0.789525,0.874604,0.693496,0.480386
0.014,0.8,0.648618,0.807141,0.875824,0.730388,0.483227
0.014,0.85,0.649493,0.811199,0.871428,0.748936,0.477747
0.014,0.9,0.649102,0.811505,0.868064,0.758744,0.474083
0.014,0.95,0.649281,0.811615,0.866812,0.76616,0.472574
0.014,1.0,0.650123,0.811992,0.865648,0.770656,0.472326
0.016,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.016,0.35,0.520726,0.708898,0.488496,0.903612,0.306884
0.016,0.4,0.539401,0.747369,0.52762,0.919508,0.306833
0.016,0.45,0.55259,0.797151,0.650112,0.909032,0.295816
0.016,0.5,0.537656,0.787165,0.728936,0.86238,0.283577
0.016,0.55,0.536551,0.769462,0.761412,0.821368,0.296903
0.016,0.6,0.551209,0.762692,0.794798,0.779612,0.329989
0.016,0.65,0.572133,0.754668,0.82548,0.717032,0.378431
0.016,0.7,0.598704,0.752275,0.850432,0.658284,0.437034
0.016,0.75,0.628864,0.785295,0.86721,0.692848,0.469569
0.016,0.8,0.636952,0.802558,0.868372,0.72836,0.467909
0.016,0.85,0.635812,0.806391,0.862676,0.746552,0.459078
0.016,0.9,0.634608,0.80776,0.860492,0.756448,0.452333
0.016,0.95,0.63426,0.808873,0.85874,0.764696,0.448286
0.016,1.0,0.634473,0.809964,0.857644,0.770316,0.4459
0.018,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.018,0.35,0.520712,0.708842,0.488416,0.903612,0.306884
0.018,0.4,0.538986,0.746064,0.525828,0.919508,0.306794
0.018,0.45,0.55176,0.795528,0.646416,0.90914,0.295382
